candidate_id,rank,score,reasoning
CAND_0039754,1,0.816082,Strong experience alignment and evidence strength.
CAND_0093912,2,0.763946,Strong retrieval relevance and career trajectory. Relative gap in experience alignment.
CAND_0094759,3,0.754162,Strong career trajectory and experience alignment. Relative gap in behavior reliability.
CAND_0041669,4,0.752691,Strong retrieval relevance and evidence strength.
CAND_0005649,5,0.732735,Strong career trajectory and retrieval relevance. Relative gap in evidence strength.
CAND_0041610,6,0.730683,Strong retrieval relevance and evidence strength.
CAND_0055992,7,0.724167,Strong experience alignment and evidence strength.
CAND_0069905,8,0.715193,Strong retrieval relevance and evidence strength.
CAND_0046064,9,0.677783,Strong experience alignment and evidence strength.
CAND_0029367,10,0.675609,Strong career trajectory and evidence strength. Relative gap in experience alignment.
CAND_0065878,11,0.64646,Strong career trajectory and evidence strength. Relative gap in behavior reliability.
CAND_0049538,12,0.646383,Strong evidence strength and retrieval relevance. Relative gap in experience alignment.
CAND_0095528,13,0.645805,Strong career trajectory and evidence strength. Relative gap in behavior reliability.
CAND_0098846,14,0.636487,Strong retrieval relevance and experience alignment. Relative gap in evidence strength.
CAND_0079064,15,0.62698,Strong career trajectory and behavior reliability. Relative gap in experience alignment.
CAND_0007412,16,0.62258,Strong behavior reliability and experience alignment.
CAND_0070398,17,0.60162,Strong evidence strength and experience alignment.
CAND_0055905,18,0.597836,Strong evidence strength and experience alignment.
CAND_0061265,19,0.594239,Strong retrieval relevance and evidence strength. Relative gap in career trajectory.
CAND_0044855,20,0.592403,Strong career trajectory and evidence strength. Relative gap in retrieval relevance.
CAND_0018722,21,0.587522,Strong retrieval relevance and behavior reliability. Relative gap in evidence strength.
CAND_0008425,22,0.587052,Strong evidence strength and experience alignment. Relative gap in career trajectory.
CAND_0042029,23,0.583409,Strong career trajectory and evidence strength. Relative gap in retrieval relevance.
CAND_0018499,24,0.581115,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0064326,25,0.580431,Strong evidence strength and experience alignment.
CAND_0010257,26,0.578347,Strong behavior reliability and evidence strength.
CAND_0091534,27,0.573084,Strong experience alignment and evidence strength. Relative gap in retrieval relevance.
CAND_0006557,28,0.572379,Strong evidence strength and experience alignment. Relative gap in behavior reliability.
CAND_0014440,29,0.566292,Strong retrieval relevance and experience alignment.
CAND_0024620,30,0.565882,Strong retrieval relevance and behavior reliability. Relative gap in evidence strength.
CAND_0006567,31,0.563977,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0081846,32,0.561708,Strong career trajectory and evidence strength. Relative gap in retrieval relevance.
CAND_0041568,33,0.561554,Strong evidence strength and retrieval relevance. Relative gap in behavior reliability.
CAND_0006418,34,0.558075,Strong evidence strength and behavior reliability. Relative gap in experience alignment.
CAND_0076251,35,0.556789,Strong evidence strength and experience alignment. Relative gap in behavior reliability.
CAND_0052328,36,0.556004,Strong behavior reliability and evidence strength. Relative gap in career trajectory.
CAND_0026532,37,0.550504,Strong evidence strength and retrieval relevance. Relative gap in experience alignment.
CAND_0078002,38,0.549838,Strong evidence strength and behavior reliability. Relative gap in career trajectory.
CAND_0030953,39,0.547635,Strong evidence strength and experience alignment. Relative gap in retrieval relevance.
CAND_0040117,40,0.546264,Strong evidence strength and retrieval relevance. Relative gap in behavior reliability.
CAND_0036437,41,0.546051,Strong behavior reliability and evidence strength. Relative gap in experience alignment.
CAND_0081852,42,0.541572,Strong career trajectory and retrieval relevance. Relative gap in evidence strength.
CAND_0076904,43,0.538736,Strong career trajectory and evidence strength. Relative gap in experience alignment.
CAND_0030031,44,0.535905,Strong evidence strength and behavior reliability. Relative gap in experience alignment.
CAND_0037944,45,0.533062,Strong career trajectory and evidence strength. Relative gap in behavior reliability.
CAND_0093331,46,0.53222,Strong experience alignment and evidence strength. Relative gap in retrieval relevance.
CAND_0083307,47,0.530204,Strong experience alignment and behavior reliability. Relative gap in evidence strength.
CAND_0057701,48,0.523977,Strong evidence strength and retrieval relevance. Relative gap in experience alignment.
CAND_0087364,49,0.519399,Strong evidence strength and retrieval relevance. Relative gap in experience alignment.
CAND_0046525,50,0.515593,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0011687,51,0.51536,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0078042,52,0.504853,Strong behavior reliability and evidence strength. Relative gap in experience alignment.
CAND_0045250,53,0.501404,Strong evidence strength and experience alignment. Relative gap in retrieval relevance.
CAND_0036863,54,0.499405,Strong career trajectory and evidence strength. Relative gap in behavior reliability.
CAND_0007009,55,0.490895,Strong experience alignment and behavior reliability. Relative gap in retrieval relevance.
CAND_0084819,56,0.4864,Strong evidence strength and behavior reliability. Relative gap in career trajectory.
CAND_0030827,57,0.483858,Strong career trajectory and behavior reliability. Relative gap in evidence strength.
CAND_0099401,58,0.477353,Strong experience alignment and retrieval relevance. Relative gap in evidence strength.
CAND_0070485,59,0.460715,Strong evidence strength and experience alignment. Relative gap in retrieval relevance.
CAND_0047721,60,0.459343,Strong career trajectory and evidence strength. Relative gap in retrieval relevance.
CAND_0064904,61,0.458854,Strong evidence strength and behavior reliability. Relative gap in experience alignment.
CAND_0031593,62,0.457679,Strong evidence strength and experience alignment. Relative gap in retrieval relevance.
CAND_0092278,63,0.456667,Strong evidence strength and experience alignment. Relative gap in behavior reliability.
CAND_0009837,64,0.455083,Strong evidence strength and behavior reliability. Relative gap in experience alignment.
CAND_0017960,65,0.449196,Strong experience alignment and behavior reliability. Relative gap in evidence strength.
CAND_0086151,66,0.446952,Strong evidence strength and experience alignment. Relative gap in retrieval relevance.
CAND_0074735,67,0.446467,Strong behavior reliability and evidence strength. Relative gap in retrieval relevance.
CAND_0042100,68,0.440346,Strong evidence strength and experience alignment. Relative gap in career trajectory.
CAND_0027801,69,0.440345,Strong evidence strength and experience alignment. Relative gap in retrieval relevance.
CAND_0068811,70,0.437616,Strong experience alignment and evidence strength. Relative gap in retrieval relevance.
CAND_0007460,71,0.434227,Strong evidence strength and behavior reliability. Relative gap in experience alignment.
CAND_0000031,72,0.431906,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0066999,73,0.426799,Strong evidence strength and retrieval relevance. Relative gap in career trajectory.
CAND_0086022,74,0.424759,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0058688,75,0.416637,Strong behavior reliability and evidence strength. Relative gap in retrieval relevance.
CAND_0096142,76,0.416157,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0002025,77,0.414761,Strong behavior reliability and retrieval relevance. Relative gap in career trajectory.
CAND_0011162,78,0.410818,Strong behavior reliability and career trajectory. Relative gap in evidence strength.
CAND_0044883,79,0.409456,Strong behavior reliability and career trajectory. Relative gap in evidence strength.
CAND_0054123,80,0.39632,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0003977,81,0.394648,Strong evidence strength and career trajectory. Relative gap in experience alignment.
CAND_0010770,82,0.393196,Strong experience alignment and career trajectory. Relative gap in evidence strength.
CAND_0062247,83,0.392919,Strong behavior reliability and experience alignment. Relative gap in evidence strength.
CAND_0030468,84,0.382658,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0075249,85,0.364308,Strong evidence strength and behavior reliability. Relative gap in retrieval relevance.
CAND_0019480,86,0.363371,Strong behavior reliability and evidence strength. Relative gap in experience alignment.
CAND_0015528,87,0.357324,Strong evidence strength and experience alignment. Relative gap in career trajectory.
CAND_0061339,88,0.354116,Strong behavior reliability and evidence strength. Relative gap in experience alignment.
CAND_0070202,89,0.349075,Strong evidence strength and career trajectory. Relative gap in behavior reliability.
CAND_0066376,90,0.345917,Strong evidence strength and experience alignment. Relative gap in career trajectory.
CAND_0076831,91,0.345778,Strong evidence strength and career trajectory. Relative gap in experience alignment.
CAND_0054394,92,0.343574,Strong behavior reliability and career trajectory. Relative gap in evidence strength.
CAND_0065195,93,0.342862,Strong evidence strength and behavior reliability. Relative gap in career trajectory.
CAND_0058575,94,0.312542,Strong behavior reliability and career trajectory. Relative gap in evidence strength.
CAND_0009024,95,0.301064,Strong evidence strength and career trajectory. Relative gap in retrieval relevance.
CAND_0078492,96,0.28488,Strong evidence strength and behavior reliability. Relative gap in career trajectory.
CAND_0077285,97,0.27116,Strong career trajectory and experience alignment. Relative gap in retrieval relevance.
CAND_0037000,98,0.222149,Strong evidence strength and career trajectory. Relative gap in experience alignment.
CAND_0030348,99,0.213968,Strong evidence strength and experience alignment. Relative gap in career trajectory.
CAND_0008239,100,0.203773,Strong behavior reliability and career trajectory. Relative gap in retrieval relevance.
